instrument_id,account_id,instrument_type,card_fingerprint,card_bin,card_last4,card_network,issuer_bank,country,is_prepaid,added_at
INST_000026,ACC_000007,credit_card,fp_card_6a8cbb03a9540d23,411111,7565,VISA,Chime Neobank,US,False,2026-06-29T12:38:00+00:00
INST_000027,ACC_000007,credit_card,fp_card_8cca056763069f31,542418,2330,MASTERCARD,Wells Fargo,US,False,2026-06-29T12:34:00+00:00
INST_000028,ACC_000007,credit_card,fp_card_b3e54fc59f633895,402400,6039,VISA,Chime Neobank,US,False,2026-06-29T12:32:00+00:00
INST_000029,ACC_000008,credit_card,fp_card_58c10f620bd0a82a,650000,3973,DISCOVER,PNC Bank,US,False,2026-06-29T12:43:00+00:00
INST_000030,ACC_000008,credit_card,fp_card_5c896b830a694944,650000,1888,DISCOVER,U.S. Bank,US,False,2026-06-29T12:44:00+00:00
INST_000031,ACC_000008,credit_card,fp_card_dbee23bc23a9c4ba,644000,5781,DISCOVER,Capital One,US,False,2026-06-29T12:38:00+00:00
INST_000032,ACC_000008,credit_card,fp_card_8553417e587c6160,644000,8935,DISCOVER,TD Bank,US,False,2026-06-29T12:38:00+00:00
INST_000033,ACC_000009,credit_card,fp_card_ae9929fff4660afa,491622,8486,VISA,Wells Fargo,US,False,2026-06-29T12:48:00+00:00
INST_000034,ACC_000009,credit_card,fp_card_89e4a478b6471992,453201,2612,VISA,Bank of America,US,False,2026-06-29T12:44:00+00:00
INST_000035,ACC_000009,credit_card,fp_card_3359ca9073f27c88,650000,1153,DISCOVER,Truist,US,False,2026-06-29T12:45:00+00:00
INST_000036,ACC_000009,credit_card,fp_card_19e5fd876b8e38e8,378282,1803,AMEX,Truist,US,False,2026-06-29T12:47:00+00:00
INST_000037,ACC_000010,credit_card,fp_card_1a19b1ac1848c051,535310,6994,MASTERCARD,Capital One,US,False,2026-06-29T12:49:00+00:00
INST_000038,ACC_000010,credit_card,fp_card_1f79d5cf8a9b5c46,644000,7086,DISCOVER,Citibank,US,False,2026-06-29T12:50:00+00:00
INST_000039,ACC_000010,credit_card,fp_card_ed58e9fca7987ccd,644000,3531,DISCOVER,Bank of America,US,False,2026-06-29T12:54:00+00:00
INST_000040,ACC_000010,credit_card,fp_card_4203a1a1fb62d196,426684,4990,VISA,Chime Neobank,US,False,2026-06-29T12:46:00+00:00
INST_000041,ACC_000011,credit_card,fp_card_18dd196e38818325,402400,7897,VISA,Bank of America,US,False,2026-06-29T12:55:00+00:00
INST_000042,ACC_000011,credit_card,fp_card_7562d9ddfe5ecb68,371449,2076,AMEX,Chime Neobank,US,False,2026-06-29T12:52:00+00:00
INST_000043,ACC_000011,credit_card,fp_card_2c5a02490b2f23d6,375987,6120,AMEX,U.S. Bank,US,False,2026-06-29T12:52:00+00:00
INST_000044,ACC_000011,credit_card,fp_card_e961e58c40bfcf29,378282,9313,AMEX,Truist,US,False,2026-06-29T12:55:00+00:00
INST_000045,ACC_000012,credit_card,fp_card_4ecedb5201c98923,601100,3324,DISCOVER,JPMorgan Chase,US,False,2026-06-29T13:05:00+00:00
INST_000046,ACC_000012,credit_card,fp_card_c0e05a17f6511510,426684,8043,VISA,Chime Neobank,US,False,2026-06-29T13:04:00+00:00
INST_000047,ACC_000012,credit_card,fp_card_83f6c8e8a2555403,644000,1693,DISCOVER,Truist,US,False,2026-06-29T12:57:00+00:00
INST_000048,ACC_000012,credit_card,fp_card_8f6f739674f10587,542418,3754,MASTERCARD,Bank of America,US,False,2026-06-29T13:01:00+00:00
INST_000049,ACC_000013,credit_card,fp_card_e4333aa4f052bf20,371449,8205,AMEX,Truist,US,False,2026-07-24T12:02:00+00:00
INST_000050,ACC_000013,credit_card,fp_card_a6830fbac41446eb,491622,9307,VISA,Chime Neobank,US,False,2026-07-24T12:02:00+00:00
INST_000051,ACC_000013,credit_card,fp_card_f15d6b435714fe57,426684,2381,VISA,Wells Fargo,US,False,2026-07-24T12:02:00+00:00
INST_000052,ACC_000013,credit_card,fp_card_9ef82bd77dd4047c,471600,6482,VISA,Bank of America,US,False,2026-07-24T12:02:00+00:00
INST_000053,ACC_000014,credit_card,fp_card_c79ca3086e428544,601100,2388,DISCOVER,PNC Bank,US,False,2026-07-24T12:10:00+00:00
INST_000054,ACC_000014,credit_card,fp_card_30a702c7b83e7408,426684,6060,VISA,Citibank,US,False,2026-07-24T12:10:00+00:00
INST_000055,ACC_000014,credit_card,fp_card_77e9cfc561e6f4df,471600,6517,VISA,Chime Neobank,US,False,2026-07-24T12:10:00+00:00
INST_000056,ACC_000014,credit_card,fp_card_d1d07222b16bcd5e,550000,5668,MASTERCARD,Truist,US,False,2026-07-24T12:10:00+00:00
INST_000057,ACC_000015,credit_card,fp_card_785c29d757b03d21,601100,4271,DISCOVER,Wells Fargo,US,False,2026-07-24T12:18:00+00:00
INST_000058,ACC_000015,credit_card,fp_card_cb73223296344397,644000,3414,DISCOVER,Bank of America,US,False,2026-07-24T12:18:00+00:00
INST_000059,ACC_000015,credit_card,fp_card_dc1ab1c856395210,426684,2623,VISA,U.S. Bank,US,False,2026-07-24T12:18:00+00:00
INST_000060,ACC_000015,credit_card,fp_card_a7026861d46332f8,371449,3449,AMEX,Chime Neobank,US,False,2026-07-24T12:18:00+00:00
INST_000061,ACC_000016,credit_card,fp_card_3b55d247ac619788,471600,9443,VISA,Wells Fargo,US,False,2026-07-24T12:26:00+00:00
INST_000062,ACC_000016,credit_card,fp_card_ae5cb0c35b48bbf3,453201,8702,VISA,PNC Bank,US,False,2026-07-24T12:26:00+00:00
INST_000063,ACC_000016,credit_card,fp_card_13c859ca1d7dda89,426684,9945,VISA,Wells Fargo,US,False,2026-07-24T12:26:00+00:00
INST_000064,ACC_000016,credit_card,fp_card_80a61a0a4bc0a35f,510510,6170,MASTERCARD,TD Bank,US,False,2026-07-24T12:26:00+00:00
INST_000065,ACC_000017,credit_card,fp_card_6c7d6585fe4d4ede,650000,8204,DISCOVER,PNC Bank,US,False,2026-07-24T12:34:00+00:00
INST_000066,ACC_000017,credit_card,fp_card_61093da27f4f0e7a,535310,5813,MASTERCARD,Bank of America,US,False,2026-07-24T12:34:00+00:00
INST_000067,ACC_000017,credit_card,fp_card_a2ba87893155e992,650000,1939,DISCOVER,PNC Bank,US,False,2026-07-24T12:34:00+00:00
INST_000068,ACC_000017,credit_card,fp_card_41073e2b63d25aa1,340000,7272,AMEX,JPMorgan Chase,US,False,2026-07-24T12:34:00+00:00
INST_000069,ACC_000018,credit_card,fp_card_228d5d69083b28c8,550000,9482,MASTERCARD,TD Bank,US,False,2026-07-24T12:42:00+00:00
INST_000070,ACC_000018,credit_card,fp_card_daab524a0156b7b7,550000,2438,MASTERCARD,U.S. Bank,US,False,2026-07-24T12:42:00+00:00
INST_000071,ACC_000018,credit_card,fp_card_c252b60722ba9e05,510510,4292,MASTERCARD,Citibank,US,False,2026-07-24T12:42:00+00:00
INST_000072,ACC_000018,credit_card,fp_card_9db53aded2a92e7a,644000,7730,DISCOVER,Chime Neobank,US,False,2026-07-24T12:42:00+00:00
INST_000073,ACC_000019,credit_card,fp_card_460e8060428d0bd3,644000,1907,DISCOVER,TD Bank,US,False,2026-07-24T12:50:00+00:00
INST_000074,ACC_000019,credit_card,fp_card_9dbe57bdece16ec9,371449,5961,AMEX,Bank of America,US,False,2026-07-24T12:50:00+00:00
INST_000075,ACC_000019,credit_card,fp_card_05c62e464794a615,411111,1744,VISA,Chime Neobank,US,False,2026-07-24T12:50:00+00:00
INST_000076,ACC_000019,credit_card,fp_card_8ea19132efb2bb81,650000,8430,DISCOVER,JPMorgan Chase,US,False,2026-07-24T12:50:00+00:00
INST_000077,ACC_000020,credit_card,fp_card_a7c8526df97b23af,426684,4960,VISA,Capital One,US,False,2026-07-24T12:58:00+00:00
INST_000078,ACC_000020,credit_card,fp_card_8040ba54c8f51950,371449,3610,AMEX,TD Bank,US,False,2026-07-24T12:58:00+00:00
INST_000079,ACC_000020,credit_card,fp_card_6daa5799b5a31367,650000,9793,DISCOVER,Bank of America,US,False,2026-07-24T12:58:00+00:00
INST_000080,ACC_000020,credit_card,fp_card_367eb01c65387127,644000,5582,DISCOVER,Chime Neobank,US,False,2026-07-24T12:58:00+00:00
INST_000081,ACC_000021,credit_card,fp_card_a6e225e6080ce87d,411111,3245,VISA,Truist,US,False,2026-07-24T13:06:00+00:00
INST_000082,ACC_000021,credit_card,fp_card_e4bf252267eee1da,644000,5911,DISCOVER,JPMorgan Chase,US,False,2026-07-24T13:06:00+00:00
INST_000083,ACC_000021,credit_card,fp_card_8ae8f4123f38c7d9,510510,8871,MASTERCARD,Chime Neobank,US,False,2026-07-24T13:06:00+00:00
INST_000084,ACC_000021,credit_card,fp_card_c2e30319b3b5e21e,550000,9221,MASTERCARD,Truist,US,False,2026-07-24T13:06:00+00:00
INST_000085,ACC_000022,credit_card,fp_card_bbca4bdac11e58ae,340000,5331,AMEX,Citibank,US,False,2026-07-24T13:14:00+00:00
INST_000086,ACC_000022,credit_card,fp_card_634d14e5cdab7f83,340000,2996,AMEX,TD Bank,US,False,2026-07-24T13:14:00+00:00
INST_000087,ACC_000022,credit_card,fp_card_3b531df29ce91496,375987,4505,AMEX,TD Bank,US,False,2026-07-24T13:14:00+00:00
INST_000088,ACC_000022,credit_card,fp_card_b013ae1fae951ebe,453201,6411,VISA,Bank of America,US,False,2026-07-24T13:14:00+00:00
INST_000089,ACC_000023,credit_card,fp_stolen_pool_d9be522082ef,411111,6523,VISA,Capital One,US,False,2026-07-10T12:15:00+00:00
INST_000090,ACC_000023,credit_card,fp_stolen_pool_0619695ffec4,453201,9116,VISA,Wells Fargo,US,False,2026-07-10T12:15:00+00:00
INST_000091,ACC_000023,credit_card,fp_stolen_pool_08f9c75dae50,542418,3616,MASTERCARD,PNC Bank,US,False,2026-07-10T12:15:00+00:00
INST_000092,ACC_000023,credit_card,fp_stolen_pool_851aec7db423,426684,5662,VISA,Truist,US,False,2026-07-10T12:15:00+00:00
INST_000093,ACC_000024,credit_card,fp_stolen_pool_3477415f1402,411111,5272,VISA,PNC Bank,US,False,2026-07-10T15:15:00+00:00
INST_000094,ACC_000024,credit_card,fp_stolen_pool_fb1ad2abed85,453201,5374,VISA,U.S. Bank,US,False,2026-07-10T15:15:00+00:00
INST_000095,ACC_000024,credit_card,fp_stolen_pool_3cc7485696b0,471600,4804,VISA,TD Bank,US,False,2026-07-10T15:15:00+00:00
INST_000096,ACC_000024,credit_card,fp_stolen_pool_dd5490ea8a10,471600,8518,VISA,Capital One,US,False,2026-07-10T15:15:00+00:00
INST_000097,ACC_000025,credit_card,fp_stolen_pool_aeb29ec2e087,525500,2845,MASTERCARD,U.S. Bank,US,False,2026-07-10T18:15:00+00:00
INST_000098,ACC_000025,credit_card,fp_stolen_pool_6b7ea5550cba,542418,5676,MASTERCARD,JPMorgan Chase,US,False,2026-07-10T18:15:00+00:00
INST_000099,ACC_000025,credit_card,fp_stolen_pool_6473cdfbbe54,525500,2017,MASTERCARD,Bank of America,US,False,2026-07-10T18:15:00+00:00
INST_000100,ACC_000025,credit_card,fp_stolen_pool_2161e09fdf56,510510,1151,MASTERCARD,Capital One,US,False,2026-07-10T18:15:00+00:00
INST_000101,ACC_000026,credit_card,fp_stolen_pool_aeb29ec2e087,525500,2845,MASTERCARD,U.S. Bank,US,False,2026-07-10T21:15:00+00:00
INST_000102,ACC_000026,credit_card,fp_stolen_pool_3477415f1402,411111,5272,VISA,PNC Bank,US,False,2026-07-10T21:15:00+00:00
INST_000103,ACC_000026,credit_card,fp_stolen_pool_d9be522082ef,411111,6523,VISA,Capital One,US,False,2026-07-10T21:15:00+00:00
INST_000104,ACC_000026,credit_card,fp_stolen_pool_2161e09fdf56,510510,1151,MASTERCARD,Capital One,US,False,2026-07-10T21:15:00+00:00
INST_000105,ACC_000027,credit_card,fp_stolen_pool_8cbce9f18ead,402400,8822,VISA,U.S. Bank,US,False,2026-07-11T00:15:00+00:00
INST_000106,ACC_000027,credit_card,fp_stolen_pool_3cc7485696b0,471600,4804,VISA,TD Bank,US,False,2026-07-11T00:15:00+00:00
INST_000107,ACC_000027,credit_card,fp_stolen_pool_c96a412200cf,402400,7846,VISA,Wells Fargo,US,False,2026-07-11T00:15:00+00:00
INST_000108,ACC_000027,credit_card,fp_stolen_pool_0619695ffec4,453201,9116,VISA,Wells Fargo,US,False,2026-07-11T00:15:00+00:00
INST_000109,ACC_000028,credit_card,fp_stolen_pool_3477415f1402,411111,5272,VISA,PNC Bank,US,False,2026-07-11T03:15:00+00:00
INST_000110,ACC_000028,credit_card,fp_stolen_pool_d9be522082ef,411111,6523,VISA,Capital One,US,False,2026-07-11T03:15:00+00:00
INST_000111,ACC_000028,credit_card,fp_stolen_pool_2161e09fdf56,510510,1151,MASTERCARD,Capital One,US,False,2026-07-11T03:15:00+00:00
INST_000112,ACC_000028,credit_card,fp_stolen_pool_0619695ffec4,453201,9116,VISA,Wells Fargo,US,False,2026-07-11T03:15:00+00:00
INST_000113,ACC_000029,credit_card,fp_stolen_pool_3477415f1402,411111,5272,VISA,PNC Bank,US,False,2026-07-11T06:15:00+00:00
INST_000114,ACC_000029,credit_card,fp_stolen_pool_6b7ea5550cba,542418,5676,MASTERCARD,JPMorgan Chase,US,False,2026-07-11T06:15:00+00:00
INST_000115,ACC_000029,credit_card,fp_stolen_pool_6473cdfbbe54,525500,2017,MASTERCARD,Bank of America,US,False,2026-07-11T06:15:00+00:00
INST_000116,ACC_000029,credit_card,fp_stolen_pool_dd5490ea8a10,471600,8518,VISA,Capital One,US,False,2026-07-11T06:15:00+00:00
INST_000117,ACC_000030,credit_card,fp_stolen_pool_a6c014cea049,402400,7643,VISA,PNC Bank,US,False,2026-07-11T09:15:00+00:00
INST_000118,ACC_000030,credit_card,fp_stolen_pool_0619695ffec4,453201,9116,VISA,Wells Fargo,US,False,2026-07-11T09:15:00+00:00
INST_000119,ACC_000030,credit_card,fp_stolen_pool_3cc7485696b0,471600,4804,VISA,TD Bank,US,False,2026-07-11T09:15:00+00:00
INST_000120,ACC_000030,credit_card,fp_stolen_pool_6473cdfbbe54,525500,2017,MASTERCARD,Bank of America,US,False,2026-07-11T09:15:00+00:00
INST_000121,ACC_000031,credit_card,fp_stolen_pool_a6c014cea049,402400,7643,VISA,PNC Bank,US,False,2026-07-11T12:15:00+00:00
INST_000122,ACC_000031,credit_card,fp_stolen_pool_6b7ea5550cba,542418,5676,MASTERCARD,JPMorgan Chase,US,False,2026-07-11T12:15:00+00:00
INST_000123,ACC_000031,credit_card,fp_stolen_pool_dd5490ea8a10,471600,8518,VISA,Capital One,US,False,2026-07-11T12:15:00+00:00
INST_000124,ACC_000031,credit_card,fp_stolen_pool_8cbce9f18ead,402400,8822,VISA,U.S. Bank,US,False,2026-07-11T12:15:00+00:00
INST_000125,ACC_000032,credit_card,fp_stolen_pool_c96a412200cf,402400,7846,VISA,Wells Fargo,US,False,2026-07-11T15:15:00+00:00
INST_000126,ACC_000032,credit_card,fp_stolen_pool_aeb29ec2e087,525500,2845,MASTERCARD,U.S. Bank,US,False,2026-07-11T15:15:00+00:00
INST_000127,ACC_000032,credit_card,fp_stolen_pool_851aec7db423,426684,5662,VISA,Truist,US,False,2026-07-11T15:15:00+00:00
INST_000128,ACC_000032,credit_card,fp_stolen_pool_a6c014cea049,402400,7643,VISA,PNC Bank,US,False,2026-07-11T15:15:00+00:00
INST_000129,ACC_000033,credit_card,fp_stolen_pool_dd5490ea8a10,471600,8518,VISA,Capital One,US,False,2026-07-11T18:15:00+00:00
INST_000130,ACC_000033,credit_card,fp_stolen_pool_8cbce9f18ead,402400,8822,VISA,U.S. Bank,US,False,2026-07-11T18:15:00+00:00
INST_000131,ACC_000033,credit_card,fp_stolen_pool_1af472cf384d,510510,7567,MASTERCARD,Bank of America,US,False,2026-07-11T18:15:00+00:00
INST_000132,ACC_000033,credit_card,fp_stolen_pool_3cc7485696b0,471600,4804,VISA,TD Bank,US,False,2026-07-11T18:15:00+00:00
INST_000133,ACC_000034,credit_card,fp_stolen_pool_8cbce9f18ead,402400,8822,VISA,U.S. Bank,US,False,2026-07-11T21:15:00+00:00
INST_000134,ACC_000034,credit_card,fp_stolen_pool_a6c014cea049,402400,7643,VISA,PNC Bank,US,False,2026-07-11T21:15:00+00:00
INST_000135,ACC_000034,credit_card,fp_stolen_pool_3477415f1402,411111,5272,VISA,PNC Bank,US,False,2026-07-11T21:15:00+00:00
INST_000136,ACC_000034,credit_card,fp_stolen_pool_3cc7485696b0,471600,4804,VISA,TD Bank,US,False,2026-07-11T21:15:00+00:00
INST_000137,ACC_000035,credit_card,fp_stolen_pool_6473cdfbbe54,525500,2017,MASTERCARD,Bank of America,US,False,2026-07-12T00:15:00+00:00
INST_000138,ACC_000035,credit_card,fp_stolen_pool_851aec7db423,426684,5662,VISA,Truist,US,False,2026-07-12T00:15:00+00:00
INST_000139,ACC_000035,credit_card,fp_stolen_pool_08f9c75dae50,542418,3616,MASTERCARD,PNC Bank,US,False,2026-07-12T00:15:00+00:00
INST_000140,ACC_000035,credit_card,fp_stolen_pool_a3cdc816c47c,535310,1187,MASTERCARD,Capital One,US,False,2026-07-12T00:15:00+00:00
INST_000141,ACC_000036,credit_card,fp_stolen_pool_c96a412200cf,402400,7846,VISA,Wells Fargo,US,False,2026-07-12T03:15:00+00:00
INST_000142,ACC_000036,credit_card,fp_stolen_pool_2161e09fdf56,510510,1151,MASTERCARD,Capital One,US,False,2026-07-12T03:15:00+00:00
INST_000143,ACC_000036,credit_card,fp_stolen_pool_a6c014cea049,402400,7643,VISA,PNC Bank,US,False,2026-07-12T03:15:00+00:00
INST_000144,ACC_000036,credit_card,fp_stolen_pool_3cc7485696b0,471600,4804,VISA,TD Bank,US,False,2026-07-12T03:15:00+00:00
INST_000145,ACC_000037,prepaid_card,fp_card_e2ff9e1e24af5f16,644000,9115,DISCOVER,Green Dot Bank,US,True,2026-08-07T12:01:00+00:00
INST_000146,ACC_000037,prepaid_card,fp_card_cd9355c7e57da5e7,550000,2677,MASTERCARD,The Bancorp Bank,US,True,2026-08-07T12:01:00+00:00
INST_000147,ACC_000037,prepaid_card,fp_card_1958e56b43b442b3,525500,6744,MASTERCARD,Prepaid Financial Services,US,True,2026-08-07T12:01:00+00:00
INST_000148,ACC_000038,prepaid_card,fp_card_5e96dde7f7365be8,542418,5794,MASTERCARD,MetaBank,US,True,2026-08-07T12:04:00+00:00
INST_000149,ACC_000038,prepaid_card,fp_card_4ecd683b597a617d,371449,3174,AMEX,MetaBank,US,True,2026-08-07T12:04:00+00:00
INST_000150,ACC_000038,prepaid_card,fp_card_d642059fd2d41862,453201,9447,VISA,MetaBank,US,True,2026-08-07T12:04:00+00:00
INST_000151,ACC_000039,prepaid_card,fp_card_b51f8b561fd5ec61,378282,9756,AMEX,Vanilla Prepaid,US,True,2026-08-07T12:07:00+00:00
INST_000152,ACC_000039,prepaid_card,fp_card_f7ede9bd72b8285e,411111,2631,VISA,Vanilla Prepaid,US,True,2026-08-07T12:07:00+00:00
INST_000153,ACC_000039,prepaid_card,fp_card_82bc5421f17d9d57,371449,5489,AMEX,MetaBank,US,True,2026-08-07T12:07:00+00:00
INST_000154,ACC_000040,prepaid_card,fp_card_4f4fce519444f23b,471600,2559,VISA,Vanilla Prepaid,US,True,2026-08-07T12:10:00+00:00
INST_000155,ACC_000040,prepaid_card,fp_card_72ccb1abd9037311,550000,2160,MASTERCARD,Green Dot Bank,US,True,2026-08-07T12:10:00+00:00
INST_000156,ACC_000040,prepaid_card,fp_card_58d45e3a37386b82,510510,9691,MASTERCARD,Prepaid Financial Services,US,True,2026-08-07T12:10:00+00:00
INST_000157,ACC_000041,prepaid_card,fp_card_e76470dd749f0186,402400,3017,VISA,Vanilla Prepaid,US,True,2026-08-07T12:13:00+00:00
INST_000158,ACC_000041,prepaid_card,fp_card_a9041561d0426b46,378282,5942,AMEX,Prepaid Financial Services,US,True,2026-08-07T12:13:00+00:00
INST_000159,ACC_000041,prepaid_card,fp_card_867c04c6b3678aa0,644000,2163,DISCOVER,Green Dot Bank,US,True,2026-08-07T12:13:00+00:00
INST_000160,ACC_000042,prepaid_card,fp_card_fdb38c89d16e384b,411111,2106,VISA,The Bancorp Bank,US,True,2026-08-07T12:16:00+00:00
INST_000161,ACC_000042,prepaid_card,fp_card_e8e520403f857bfe,471600,9791,VISA,The Bancorp Bank,US,True,2026-08-07T12:16:00+00:00
INST_000162,ACC_000042,prepaid_card,fp_card_c52bdc0fde1eff20,426684,8167,VISA,The Bancorp Bank,US,True,2026-08-07T12:16:00+00:00
INST_000163,ACC_000043,prepaid_card,fp_card_f3943f2ce677e1b2,471600,3248,VISA,The Bancorp Bank,US,True,2026-08-07T12:19:00+00:00
INST_000164,ACC_000043,prepaid_card,fp_card_ae862d7dd70167db,411111,6488,VISA,MetaBank,US,True,2026-08-07T12:19:00+00:00
INST_000165,ACC_000043,prepaid_card,fp_card_eade754a7c54ad8a,542418,3577,MASTERCARD,Green Dot Bank,US,True,2026-08-07T12:19:00+00:00
INST_000166,ACC_000044,prepaid_card,fp_card_c92cf1e4d6b7144c,601100,3932,DISCOVER,Green Dot Bank,US,True,2026-08-07T12:22:00+00:00
INST_000167,ACC_000044,prepaid_card,fp_card_1535a07d982b8eb1,491622,7108,VISA,Green Dot Bank,US,True,2026-08-07T12:22:00+00:00
INST_000168,ACC_000044,prepaid_card,fp_card_4b3e9273cbe66639,378282,8483,AMEX,The Bancorp Bank,US,True,2026-08-07T12:22:00+00:00
INST_000169,ACC_000045,prepaid_card,fp_card_61210a2d2ae23b1d,525500,1104,MASTERCARD,Green Dot Bank,US,True,2026-08-07T12:25:00+00:00
INST_000170,ACC_000045,prepaid_card,fp_card_34688140dad5b824,378282,4361,AMEX,The Bancorp Bank,US,True,2026-08-07T12:25:00+00:00
INST_000171,ACC_000045,prepaid_card,fp_card_36a87e9cff419111,644000,7102,DISCOVER,Green Dot Bank,US,True,2026-08-07T12:25:00+00:00
INST_000172,ACC_000046,prepaid_card,fp_card_abb4a33067871dea,340000,7438,AMEX,MetaBank,US,True,2026-08-07T12:28:00+00:00
INST_000173,ACC_000046,prepaid_card,fp_card_482536142fe80e66,650000,7660,DISCOVER,MetaBank,US,True,2026-08-07T12:28:00+00:00
INST_000174,ACC_000046,prepaid_card,fp_card_2a46ca7cf5c52e3a,402400,6370,VISA,The Bancorp Bank,US,True,2026-08-07T12:28:00+00:00
INST_000175,ACC_000047,prepaid_card,fp_card_d4cbea40955dc9a8,453201,2669,VISA,The Bancorp Bank,US,True,2026-06-21T12:05:00+00:00
INST_000176,ACC_000048,prepaid_card,fp_card_9a9890d981077d84,411111,2010,VISA,The Bancorp Bank,US,True,2026-06-21T12:17:00+00:00
INST_000177,ACC_000049,prepaid_card,fp_card_432c181986fc7fc1,525500,7563,MASTERCARD,Green Dot Bank,US,True,2026-06-21T12:29:00+00:00
INST_000178,ACC_000050,prepaid_card,fp_card_69ef896f8146c538,378282,1357,AMEX,The Bancorp Bank,US,True,2026-06-21T12:41:00+00:00
INST_000179,ACC_000051,prepaid_card,fp_card_611f53a9b0140d43,601100,2506,DISCOVER,MetaBank,US,True,2026-06-21T12:53:00+00:00
INST_000180,ACC_000052,prepaid_card,fp_card_c786d9c7254629de,411111,8552,VISA,Prepaid Financial Services,US,True,2026-06-21T13:05:00+00:00
INST_000181,ACC_000053,prepaid_card,fp_card_d418fd02fb29c1e2,644000,7471,DISCOVER,Vanilla Prepaid,US,True,2026-06-21T13:17:00+00:00
INST_000182,ACC_000054,prepaid_card,fp_card_999242a933c34ada,601100,6799,DISCOVER,The Bancorp Bank,US,True,2026-06-21T13:29:00+00:00
INST_000183,ACC_000055,prepaid_card,fp_card_2ddb98fdd75d9ec2,340000,8307,AMEX,Green Dot Bank,US,True,2026-06-21T13:41:00+00:00
