account_id,created_at,user_name,email,phone_number,ip_address,device_id,account_status,risk_score,kyc_status
ACC_000028,2026-07-11T03:00:00+00:00,Derek Zuniga,alpha.card.5@tutanota.com,+1-555-8805,45.142.151.159,dev_fingerprint_spoof_0,flagged,0.88,unverified
ACC_000029,2026-07-11T06:00:00+00:00,Lisa Jackson,alpha.card.6@tutanota.com,+1-555-8806,45.142.146.151,dev_fingerprint_spoof_1,flagged,0.88,unverified
ACC_000030,2026-07-11T09:00:00+00:00,Carla Gray,alpha.card.7@tutanota.com,+1-555-8807,45.142.175.210,dev_fingerprint_spoof_2,flagged,0.88,unverified
ACC_000031,2026-07-11T12:00:00+00:00,Margaret Hawkins DDS,alpha.card.8@tutanota.com,+1-555-8808,45.142.162.111,dev_fingerprint_spoof_3,flagged,0.88,unverified
ACC_000032,2026-07-11T15:00:00+00:00,Patty Perez,alpha.card.9@tutanota.com,+1-555-8809,45.142.115.109,dev_fingerprint_spoof_4,flagged,0.88,unverified
ACC_000033,2026-07-11T18:00:00+00:00,Ethan Adams,alpha.card.10@tutanota.com,+1-555-8810,45.142.93.106,dev_fingerprint_spoof_0,flagged,0.88,unverified
ACC_000034,2026-07-11T21:00:00+00:00,Tommy Walter,alpha.card.11@tutanota.com,+1-555-8811,45.142.154.175,dev_fingerprint_spoof_1,flagged,0.88,unverified
ACC_000035,2026-07-12T00:00:00+00:00,Matthew Foster,alpha.card.12@tutanota.com,+1-555-8812,45.142.199.72,dev_fingerprint_spoof_2,flagged,0.88,unverified
ACC_000036,2026-07-12T03:00:00+00:00,Judy Baker,alpha.card.13@tutanota.com,+1-555-8813,45.142.86.167,dev_fingerprint_spoof_3,flagged,0.88,unverified
ACC_000037,2026-08-07T12:00:00+00:00,Justin Baker,gamer_pro_0_272@gmail.com,+1-555-7700,193.106.191.55,dev_game_bot_0,flagged,0.85,unverified
ACC_000038,2026-08-07T12:03:00+00:00,Stephanie Ross,gamer_pro_1_651@gmail.com,+1-555-7701,193.106.191.55,dev_game_bot_1,flagged,0.85,unverified
ACC_000039,2026-08-07T12:06:00+00:00,Zachary Hicks,gamer_pro_2_814@gmail.com,+1-555-7702,193.106.191.55,dev_game_bot_2,flagged,0.85,unverified
ACC_000040,2026-08-07T12:09:00+00:00,Anthony Rodriguez,gamer_pro_3_771@gmail.com,+1-555-7703,193.106.191.55,dev_game_bot_3,flagged,0.85,unverified
ACC_000041,2026-08-07T12:12:00+00:00,Rebecca Henderson,gamer_pro_4_188@gmail.com,+1-555-7704,193.106.191.55,dev_game_bot_4,flagged,0.85,unverified
ACC_000042,2026-08-07T12:15:00+00:00,James Ferrell,gamer_pro_5_888@gmail.com,+1-555-7705,193.106.191.55,dev_game_bot_5,flagged,0.85,unverified
ACC_000043,2026-08-07T12:18:00+00:00,Tricia Valencia,gamer_pro_6_222@gmail.com,+1-555-7706,193.106.191.55,dev_game_bot_6,flagged,0.85,unverified
ACC_000044,2026-08-07T12:21:00+00:00,Nathan Maldonado,gamer_pro_7_472@gmail.com,+1-555-7707,193.106.191.55,dev_game_bot_7,flagged,0.85,unverified
ACC_000045,2026-08-07T12:24:00+00:00,Debra Davidson,gamer_pro_8_850@gmail.com,+1-555-7708,193.106.191.55,dev_game_bot_8,flagged,0.85,unverified
ACC_000046,2026-08-07T12:27:00+00:00,Jeffrey Chavez,gamer_pro_9_398@gmail.com,+1-555-7709,193.106.191.55,dev_game_bot_9,flagged,0.85,unverified
ACC_000047,2026-06-21T12:00:00+00:00,Sybil User 1,sybil.collector+promo01@gmail.com,+1-555-9000,185.191.171.12,dev_farm_bluestacks_01,flagged,0.87,unverified
ACC_000048,2026-06-21T12:12:00+00:00,Sybil User 2,sybil.collector+promo02@gmail.com,+1-555-9001,185.191.171.12,dev_farm_bluestacks_02,flagged,0.87,unverified
ACC_000049,2026-06-21T12:24:00+00:00,Sybil User 3,sybil.collector+promo03@gmail.com,+1-555-9002,185.191.171.12,dev_farm_bluestacks_01,flagged,0.87,unverified
ACC_000050,2026-06-21T12:36:00+00:00,Sybil User 4,sybil.collector+promo04@gmail.com,+1-555-9003,185.191.171.12,dev_farm_bluestacks_02,flagged,0.87,unverified
ACC_000051,2026-06-21T12:48:00+00:00,Sybil User 5,sybil.collector+promo05@gmail.com,+1-555-9004,185.191.171.12,dev_farm_bluestacks_01,flagged,0.87,unverified
ACC_000052,2026-06-21T13:00:00+00:00,Sybil User 6,sybil.collector+promo06@gmail.com,+1-555-9005,185.191.171.12,dev_farm_bluestacks_02,flagged,0.87,unverified
ACC_000053,2026-06-21T13:12:00+00:00,Sybil User 7,sybil.collector+promo07@gmail.com,+1-555-9006,185.191.171.12,dev_farm_bluestacks_01,flagged,0.87,unverified
ACC_000054,2026-06-21T13:24:00+00:00,Sybil User 8,sybil.collector+promo08@gmail.com,+1-555-9007,185.191.171.12,dev_farm_bluestacks_02,flagged,0.87,unverified
ACC_000055,2026-06-21T13:36:00+00:00,Sybil User 9,sybil.collector+promo09@gmail.com,+1-555-9008,185.191.171.12,dev_farm_bluestacks_01,flagged,0.87,unverified
ACC_000056,2026-06-21T13:48:00+00:00,Sybil User 10,sybil.collector+promo10@gmail.com,+1-555-9009,185.191.171.12,dev_farm_bluestacks_02,flagged,0.87,unverified
ACC_000057,2026-06-21T14:00:00+00:00,Sybil User 11,sybil.collector+promo11@gmail.com,+1-555-9010,185.191.171.12,dev_farm_bluestacks_01,flagged,0.87,unverified
ACC_000058,2026-06-21T14:12:00+00:00,Sybil User 12,sybil.collector+promo12@gmail.com,+1-555-9011,185.191.171.12,dev_farm_bluestacks_02,flagged,0.87,unverified
ACC_000059,2026-06-21T14:24:00+00:00,Sybil User 13,sybil.collector+promo13@gmail.com,+1-555-9012,185.191.171.12,dev_farm_bluestacks_01,flagged,0.87,unverified
ACC_000060,2026-06-21T14:36:00+00:00,Sybil User 14,sybil.collector+promo14@gmail.com,+1-555-9013,185.191.171.12,dev_farm_bluestacks_02,flagged,0.87,unverified
ACC_000061,2026-06-21T14:48:00+00:00,Sybil User 15,sybil.collector+promo15@gmail.com,+1-555-9014,185.191.171.12,dev_farm_bluestacks_01,flagged,0.87,unverified
ACC_000062,2026-07-09T12:00:00+00:00,Marcus Root Recruiter,marcus.recruiter@yahoo.com,+1-555-400-0001,104.28.19.45,dev_recruiter_star_001,suspended,0.91,pending
ACC_000063,2026-07-09T13:00:00+00:00,Sherri Baker,ref.user.1_41@outlook.com,+1-555-400-0002,104.28.19.75,dev_star_ref_00,flagged,0.83,unverified
ACC_000064,2026-07-09T15:00:00+00:00,Cassandra Gaines,ref.user.2_83@outlook.com,+1-555-400-0003,104.28.19.106,dev_star_ref_01,flagged,0.83,unverified
ACC_000065,2026-07-09T17:00:00+00:00,Elizabeth Fowler,ref.user.3_40@outlook.com,+1-555-400-0004,104.28.19.95,dev_star_ref_02,flagged,0.83,unverified
ACC_000066,2026-07-09T19:00:00+00:00,Brittany Farmer,ref.user.4_82@outlook.com,+1-555-400-0005,104.28.19.140,dev_star_ref_03,flagged,0.83,unverified
ACC_000067,2026-07-09T21:00:00+00:00,Paula Moreno,ref.user.5_49@outlook.com,+1-555-400-0006,104.28.19.188,dev_star_ref_04,flagged,0.83,unverified
ACC_000068,2026-07-09T23:00:00+00:00,Fred Smith,ref.user.6_87@outlook.com,+1-555-400-0007,104.28.19.109,dev_star_ref_05,flagged,0.83,unverified
ACC_000069,2026-07-10T01:00:00+00:00,Sherry Decker,ref.user.7_88@outlook.com,+1-555-400-0008,104.28.19.134,dev_star_ref_06,flagged,0.83,unverified
ACC_000070,2026-07-10T03:00:00+00:00,Anthony Humphrey,ref.user.8_17@outlook.com,+1-555-400-0009,104.28.19.132,dev_star_ref_07,flagged,0.83,unverified
ACC_000071,2026-07-10T05:00:00+00:00,Angelica Tucker,ref.user.9_77@outlook.com,+1-555-400-0010,104.28.19.78,dev_star_ref_08,flagged,0.83,unverified
ACC_000072,2026-07-10T07:00:00+00:00,Philip Cannon,ref.user.10_22@outlook.com,+1-555-400-0011,104.28.19.200,dev_star_ref_09,flagged,0.83,unverified
ACC_000073,2026-07-10T09:00:00+00:00,John Pierce,ref.user.11_91@outlook.com,+1-555-400-0012,104.28.19.161,dev_star_ref_10,flagged,0.83,unverified
ACC_000074,2026-07-10T11:00:00+00:00,Shane Henderson,ref.user.12_38@outlook.com,+1-555-400-0013,104.28.19.141,dev_star_ref_11,flagged,0.83,unverified
ACC_000075,2026-07-10T13:00:00+00:00,Joshua Blair,ref.user.13_32@outlook.com,+1-555-400-0014,104.28.19.82,dev_star_ref_12,flagged,0.83,unverified
ACC_000076,2026-07-10T15:00:00+00:00,Eric Carney,ref.user.14_33@outlook.com,+1-555-400-0015,104.28.19.58,dev_star_ref_13,flagged,0.83,unverified
ACC_000077,2026-07-10T17:00:00+00:00,Jessica Holmes,ref.user.15_28@outlook.com,+1-555-400-0016,104.28.19.177,dev_star_ref_14,flagged,0.83,unverified
ACC_000078,2026-07-10T19:00:00+00:00,Danny Morgan,ref.user.16_91@outlook.com,+1-555-400-0017,104.28.19.92,dev_star_ref_15,flagged,0.83,unverified
ACC_000079,2026-07-10T21:00:00+00:00,Crystal Robinson,ref.user.17_41@outlook.com,+1-555-400-0018,104.28.19.103,dev_star_ref_16,flagged,0.83,unverified
ACC_000080,2026-08-14T12:00:00+00:00,Mark Perez,coupon_hunter_0_cfcd@mailinator.com,+1-555-6600,195.181.168.10,dev_coupon_bot_0,flagged,0.82,unverified
ACC_000081,2026-08-14T12:20:00+00:00,Shannon Jones,coupon_hunter_1_c4ca@trashmail.net,+1-555-6601,195.181.168.10,dev_coupon_bot_1,flagged,0.82,unverified
ACC_000082,2026-08-14T12:40:00+00:00,Michael Lewis,coupon_hunter_2_c81e@trashmail.net,+1-555-6602,195.181.168.10,dev_coupon_bot_2,flagged,0.82,unverified
ACC_000083,2026-08-14T13:00:00+00:00,Timothy Duncan,coupon_hunter_3_eccb@guerrillamail.com,+1-555-6603,195.181.168.10,dev_coupon_bot_0,flagged,0.82,unverified
ACC_000084,2026-08-14T13:20:00+00:00,Richard Aguirre,coupon_hunter_4_a87f@guerrillamail.com,+1-555-6604,195.181.168.10,dev_coupon_bot_1,flagged,0.82,unverified
ACC_000085,2026-08-14T13:40:00+00:00,Brent Jordan,coupon_hunter_5_e4da@mailinator.com,+1-555-6605,195.181.168.10,dev_coupon_bot_2,flagged,0.82,unverified
ACC_000086,2026-08-14T14:00:00+00:00,John Daniel,coupon_hunter_6_1679@trashmail.net,+1-555-6606,195.181.168.10,dev_coupon_bot_0,flagged,0.82,unverified
ACC_000087,2026-08-14T14:20:00+00:00,Victoria Garcia,coupon_hunter_7_8f14@trashmail.net,+1-555-6607,195.181.168.10,dev_coupon_bot_1,flagged,0.82,unverified
ACC_000088,2026-08-14T14:40:00+00:00,Gerald Hensley,coupon_hunter_8_c9f0@trashmail.net,+1-555-6608,195.181.168.10,dev_coupon_bot_2,flagged,0.82,unverified
ACC_000089,2026-08-14T15:00:00+00:00,Connor West,coupon_hunter_9_45c4@mailinator.com,+1-555-6609,195.181.168.10,dev_coupon_bot_0,flagged,0.82,unverified
ACC_000090,2026-08-14T15:20:00+00:00,Donald Wright,coupon_hunter_10_d3d9@tempmail.org,+1-555-6610,195.181.168.10,dev_coupon_bot_1,flagged,0.82,unverified
ACC_000091,2026-08-14T15:40:00+00:00,Jessica Callahan,coupon_hunter_11_6512@trashmail.net,+1-555-6611,195.181.168.10,dev_coupon_bot_2,flagged,0.82,unverified
ACC_000092,2026-06-26T12:00:00+00:00,Amber Kidd,mule_holder_1@safeinbox.cc,+1-555-3300,198.54.111.95,dev_mule_phone_00,flagged,0.93,unverified
ACC_000093,2026-06-26T16:00:00+00:00,Tracy House,mule_holder_2@safeinbox.cc,+1-555-3301,198.54.136.16,dev_mule_phone_01,flagged,0.93,unverified
ACC_000094,2026-06-26T20:00:00+00:00,Carol Tucker,mule_holder_3@safeinbox.cc,+1-555-3302,198.54.103.216,dev_mule_phone_02,flagged,0.93,unverified
ACC_000095,2026-06-27T00:00:00+00:00,James Brown,mule_holder_4@safeinbox.cc,+1-555-3303,198.54.125.232,dev_mule_phone_03,flagged,0.93,unverified
ACC_000096,2026-06-27T04:00:00+00:00,William Baker,mule_holder_5@safeinbox.cc,+1-555-3304,198.54.113.207,dev_mule_phone_04,flagged,0.93,unverified
ACC_000097,2026-06-27T08:00:00+00:00,Jordan Henderson,mule_holder_6@safeinbox.cc,+1-555-3305,198.54.138.67,dev_mule_phone_05,flagged,0.93,unverified
ACC_000098,2026-06-27T12:00:00+00:00,Whitney Peters,mule_holder_7@safeinbox.cc,+1-555-3306,198.54.100.202,dev_mule_phone_06,flagged,0.93,unverified
ACC_000099,2026-06-27T16:00:00+00:00,Brittney Phillips,mule_holder_8@safeinbox.cc,+1-555-3307,198.54.106.145,dev_mule_phone_07,flagged,0.93,unverified
ACC_000100,2026-06-27T20:00:00+00:00,Lauren Daniels,mule_holder_9@safeinbox.cc,+1-555-3308,198.54.130.10,dev_mule_phone_08,flagged,0.93,unverified
ACC_000101,2026-06-28T00:00:00+00:00,Amy Silva,mule_holder_10@safeinbox.cc,+1-555-3309,198.54.144.61,dev_mule_phone_09,flagged,0.93,unverified
ACC_000102,2026-06-28T04:00:00+00:00,Sarah Moore,mule_holder_11@safeinbox.cc,+1-555-3310,198.54.117.216,dev_mule_phone_10,flagged,0.93,unverified
ACC_000103,2026-06-28T08:00:00+00:00,Angela Lopez,mule_holder_12@safeinbox.cc,+1-555-3311,198.54.120.69,dev_mule_phone_11,flagged,0.93,unverified
ACC_000104,2026-06-28T12:00:00+00:00,Megan Young,mule_holder_13@safeinbox.cc,+1-555-3312,198.54.133.223,dev_mule_phone_12,flagged,0.93,unverified
ACC_000105,2026-06-28T16:00:00+00:00,Steve Sanchez,mule_holder_14@safeinbox.cc,+1-555-3313,198.54.133.226,dev_mule_phone_13,flagged,0.93,unverified
ACC_000106,2026-06-28T20:00:00+00:00,Lisa Barnes,mule_holder_15@safeinbox.cc,+1-555-3314,198.54.123.181,dev_mule_phone_14,flagged,0.93,unverified
ACC_000107,2026-07-25T12:00:00+00:00,Kelly Donovan,cash_ops_1@secure-mail.biz,+1-555-2200,185.244.25.135,dev_controller_macbook_pro_01,suspended,0.95,unverified
ACC_000108,2026-07-25T15:00:00+00:00,Mike Allen,cash_ops_2@secure-mail.biz,+1-555-2201,185.244.25.76,dev_controller_macbook_pro_02,suspended,0.95,unverified
ACC_000109,2026-07-25T18:00:00+00:00,Michael Evans,cash_ops_3@secure-mail.biz,+1-555-2202,185.244.25.64,dev_controller_macbook_pro_01,suspended,0.95,unverified
ACC_000110,2026-07-25T21:00:00+00:00,Paul Jones,cash_ops_4@secure-mail.biz,+1-555-2203,185.244.25.206,dev_controller_macbook_pro_02,suspended,0.95,unverified
ACC_000111,2026-07-26T00:00:00+00:00,Zachary Ferrell,cash_ops_5@secure-mail.biz,+1-555-2204,185.244.25.165,dev_controller_macbook_pro_01,suspended,0.95,unverified
ACC_000112,2026-07-26T03:00:00+00:00,Daniel Baker,cash_ops_6@secure-mail.biz,+1-555-2205,185.244.25.87,dev_controller_macbook_pro_02,suspended,0.95,unverified
ACC_000113,2026-07-26T06:00:00+00:00,Shirley Suarez,cash_ops_7@secure-mail.biz,+1-555-2206,185.244.25.82,dev_controller_macbook_pro_01,suspended,0.95,unverified
ACC_000114,2026-07-26T09:00:00+00:00,Christopher Bass,cash_ops_8@secure-mail.biz,+1-555-2207,185.244.25.76,dev_controller_macbook_pro_02,suspended,0.95,unverified
ACC_000115,2026-07-26T12:00:00+00:00,Lisa Archer,cash_ops_9@secure-mail.biz,+1-555-2208,185.244.25.215,dev_controller_macbook_pro_01,suspended,0.95,unverified
ACC_000116,2026-07-26T15:00:00+00:00,Aimee Montoya,cash_ops_10@secure-mail.biz,+1-555-2209,185.244.25.76,dev_controller_macbook_pro_02,suspended,0.95,unverified
ACC_000117,2026-07-26T18:00:00+00:00,Matthew Mcmillan,cash_ops_11@secure-mail.biz,+1-555-2210,185.244.25.58,dev_controller_macbook_pro_01,suspended,0.95,unverified
ACC_000118,2026-07-26T21:00:00+00:00,Brian Rodriguez,cash_ops_12@secure-mail.biz,+1-555-2211,185.244.25.139,dev_controller_macbook_pro_02,suspended,0.95,unverified
ACC_000119,2026-07-27T00:00:00+00:00,Denise Jacobs,cash_ops_13@secure-mail.biz,+1-555-2212,185.244.25.216,dev_controller_macbook_pro_01,suspended,0.95,unverified
ACC_000120,2026-07-27T03:00:00+00:00,Christina Walters,cash_ops_14@secure-mail.biz,+1-555-2213,185.244.25.211,dev_controller_macbook_pro_02,suspended,0.95,unverified
ACC_000121,2026-07-26T12:00:00+00:00,John Whitehead,mesh_node_l0_1@ghostmail.net,+1-555-500-990,194.135.172.150,dev_layered_mesh_l0_0,flagged,0.9,unverified
ACC_000122,2026-07-26T14:00:00+00:00,Anna Henderson,mesh_node_l0_2@ghostmail.net,+1-555-500-990,194.135.158.242,dev_layered_mesh_l0_1,flagged,0.9,unverified
ACC_000123,2026-07-26T16:00:00+00:00,Aaron Wise,mesh_node_l0_3@ghostmail.net,+1-555-500-990,194.135.168.19,dev_layered_mesh_l0_2,flagged,0.9,unverified
ACC_000124,2026-07-26T18:00:00+00:00,Deborah Figueroa,mesh_node_l0_4@ghostmail.net,+1-555-500-990,194.135.130.228,dev_layered_mesh_l0_3,flagged,0.9,unverified
ACC_000125,2026-07-26T20:00:00+00:00,Jessica Smith,mesh_node_l0_5@ghostmail.net,+1-555-500-990,194.135.59.129,dev_layered_mesh_l0_4,flagged,0.9,unverified
ACC_000126,2026-07-27T12:00:00+00:00,Stephen Mckee,mesh_node_l1_1@ghostmail.net,+1-555-500-991,194.135.40.223,dev_layered_mesh_l1_0,flagged,0.9,unverified
ACC_000127,2026-07-27T14:00:00+00:00,Sandra Aguilar,mesh_node_l1_2@ghostmail.net,+1-555-500-991,194.135.184.98,dev_layered_mesh_l1_1,flagged,0.9,unverified
ACC_000128,2026-07-27T16:00:00+00:00,Cameron Parker,mesh_node_l1_3@ghostmail.net,+1-555-500-991,194.135.145.77,dev_layered_mesh_l1_2,flagged,0.9,unverified
ACC_000129,2026-07-27T18:00:00+00:00,Rebecca Valencia,mesh_node_l1_4@ghostmail.net,+1-555-500-991,194.135.115.14,dev_layered_mesh_l1_3,flagged,0.9,unverified
ACC_000130,2026-07-27T20:00:00+00:00,Christine Wright,mesh_node_l1_5@ghostmail.net,+1-555-500-991,194.135.48.36,dev_layered_mesh_l1_4,flagged,0.9,unverified
ACC_000131,2026-07-28T12:00:00+00:00,Richard Henson,mesh_node_l2_1@ghostmail.net,+1-555-500-992,194.135.61.88,dev_layered_mesh_l2_0,flagged,0.9,unverified
ACC_000132,2026-07-28T14:00:00+00:00,Marc Moore,mesh_node_l2_2@ghostmail.net,+1-555-500-992,194.135.114.146,dev_layered_mesh_l2_1,flagged,0.9,unverified
ACC_000133,2026-07-28T16:00:00+00:00,Sharon Cherry,mesh_node_l2_3@ghostmail.net,+1-555-500-992,194.135.127.37,dev_layered_mesh_l2_2,flagged,0.9,unverified
ACC_000134,2026-07-28T18:00:00+00:00,Sierra Johnson,mesh_node_l2_4@ghostmail.net,+1-555-500-992,194.135.90.221,dev_layered_mesh_l2_3,flagged,0.9,unverified
ACC_000135,2026-07-28T20:00:00+00:00,Evelyn Galvan,mesh_node_l2_5@ghostmail.net,+1-555-500-992,194.135.193.47,dev_layered_mesh_l2_4,flagged,0.9,unverified
ACC_000136,2026-06-16T05:11:47+00:00,Sharon Cochran,sharon.cochran.49@university.edu,+1-555-1100,198.51.100.45,dev_student_laptop_e7fb4cfb,active,0.08,verified
ACC_000137,2026-06-24T18:12:15+00:00,Richard Rodriguez,richard.rodriguez.44@university.edu,+1-555-1101,198.51.100.45,dev_student_laptop_4f64ae14,active,0.08,verified
ACC_000138,2026-06-07T18:39:40+00:00,Shannon Walker,shannon.walker.52@university.edu,+1-555-1102,198.51.100.45,dev_student_laptop_f30a3f36,active,0.08,verified
ACC_000139,2026-06-24T01:01:44+00:00,Julia Torres,julia.torres.70@university.edu,+1-555-1103,198.51.100.45,dev_student_laptop_e57e57bb,active,0.08,verified
ACC_000140,2026-06-07T11:15:17+00:00,Crystal Johnson,crystal.johnson.73@university.edu,+1-555-1104,198.51.100.45,dev_student_laptop_30e30ad3,active,0.08,verified
ACC_000141,2026-07-03T23:40:18+00:00,Garrett Lin,garrett.lin.93@university.edu,+1-555-1105,198.51.100.45,dev_student_laptop_49e9e421,active,0.08,verified
ACC_000142,2026-06-01T23:15:03+00:00,Diana May,diana.may.90@university.edu,+1-555-1106,198.51.100.45,dev_student_laptop_8adf3ce1,active,0.08,verified
ACC_000143,2026-07-05T18:11:27+00:00,William Herrera,william.herrera.97@university.edu,+1-555-1107,198.51.100.45,dev_student_laptop_ac601753,active,0.08,verified
ACC_000144,2026-07-04T17:46:41+00:00,Ashley Waller,ashley.waller.54@university.edu,+1-555-1108,198.51.100.45,dev_student_laptop_e33cd532,active,0.08,verified
ACC_000145,2026-06-03T05:05:06+00:00,Victor Baker,victor.baker.19@university.edu,+1-555-1109,198.51.100.45,dev_student_laptop_cee9a40e,active,0.08,verified
ACC_000146,2026-06-10T07:41:47+00:00,Jeffrey Chandler,jeffrey.chandler.76@university.edu,+1-555-1110,198.51.100.45,dev_student_laptop_6759cd1c,active,0.08,verified
ACC_000147,2026-06-08T02:42:42+00:00,Larry Dixon,larry.dixon.70@university.edu,+1-555-1111,198.51.100.45,dev_student_laptop_ae7aa558,active,0.08,verified
ACC_000148,2026-06-18T19:51:17+00:00,Kenneth Scott,kenneth.scott.27@university.edu,+1-555-1112,198.51.100.45,dev_student_laptop_46c4c40a,active,0.08,verified
ACC_000149,2026-07-05T06:34:49+00:00,April Frost,april.frost.18@university.edu,+1-555-1113,198.51.100.45,dev_student_laptop_978d1d0e,active,0.08,verified
ACC_000150,2026-06-03T07:26:40+00:00,Michelle Harmon,michelle.harmon.96@university.edu,+1-555-1114,198.51.100.45,dev_student_laptop_504e21d6,active,0.08,verified
ACC_000151,2026-06-21T09:08:14+00:00,Helen Jones,helen.jones.33@university.edu,+1-555-1115,198.51.100.45,dev_student_laptop_3ec74fa0,active,0.08,verified
ACC_000152,2026-06-21T08:37:27+00:00,Erin Edwards,erin.edwards.62@university.edu,+1-555-1116,198.51.100.45,dev_student_laptop_9ae446e1,active,0.08,verified
ACC_000153,2026-07-08T04:18:04+00:00,Michelle Evans,michelle.evans.10@university.edu,+1-555-1117,198.51.100.45,dev_student_laptop_a5545157,active,0.08,verified
